Compound,Protons,Mass,PPM,Peak,Loss,Best,Intensity
C378H629N105O118S1 + PtPt + NH3NH3NH3 + Cl,3,9038.45251,95.1634142069655,9037.59238,12.608294545330075,True,17922245.79896914
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2OH2OH2O,4,9056.03528,157.2807476959801,9054.61094,31.523746169927627,False,4886890.502886781
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + H2OH2O,4,9055.05057,48.55080560847076,9054.61094,21.749481056923894,False,5165682.29371655
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2O + Cl,3,9056.4678,205.03136995638295,9054.61094,20.733548436123705,False,4732839.254160188
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + Cl,3,9055.48309,96.31181366374099,9054.61094,12.880552168842538,True,5067020.444793929
C378H629N105O118S1 + PtPt + ClCl + KK,4,9100.00597,48.105462946274066,9099.56821,20.588433597877344,False,7545223.946612642
C378H629N105O118S1 + PtPt + ClClCl + K,2,9098.37802,130.81342601759115,9099.56821,2.1692373698211984,True,7039155.4666584255
C378H629N105O118S1 + PtPt + H2O + ClClCl + Na,2,9100.2842,78.67776261323814,9099.56821,7.022479782115404,False,7420227.610643491
C378H629N105O118S1 + PtPt + H2OH2O + ClCl + K,3,9097.9455,178.3600484306751,9099.56821,3.119492418614182,False,6383407.012938689
C378H629N105O118S1 + PtPt + H2OH2OH2O + ClCl + Na,3,9099.85168,31.15105717858324,9099.56821,12.495408141036375,False,7614539.565621152
C378H629N105O118S1 + PtPt + H2OH2OH2O + Cl + Na + K,5,9101.47963,210.01200658626996,9099.56821,49.16561420440441,False,6075852.366862658
C378H629N105O118S1 + PtPt + H2OH2O + Cl + KK,5,9099.57345,0.5758511681020271,9099.56821,30.15595795201812,False,7739535.901590303
C378H629N105O118S1 + PtPt + NH3 + H2OH2O + Cl + Na + K,5,9100.49492,101.8307254875903,9099.56821,36.36349489849247,False,7325560.50819113
C378H629N105O118S1 + PtPt + NH3NH3 + H2OH2O + Cl + NaNa,5,9101.41639,203.065096772357,9099.56821,49.87439335276691,False,6160689.527060925
C378H629N105O118S1 + PtPt + NH3 + H2OH2O + ClCl + Na,3,9098.86697,77.06893641948976,9099.56821,6.483079995825271,False,7451082.451189006
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2OH2O + Na + K,6,9098.09298,162.14716680110368,9099.56821,26.18883983220325,False,6607003.105499217
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + H2OH2O + NaNa,6,9099.01445,60.85933845273476,9099.56821,38.24243846991802,False,7512243.105599832
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + NaNa + K,7,9101.07492,165.5529718460616,9099.56821,82.42568524360243,False,6618775.312848966
C378H629N105O118S1 + PtPt + NH3NH3NH3 + Na + KK,7,9100.15345,64.31100345899551,9099.56821,64.54240655690954,False,7478967.757026
C378H629N105O118S1 + PtPt + NH3NH3 + H2O + Na + KK,7,9101.13816,172.5004029606965,9099.56821,81.28268367376475,False,6533938.152648258
C378H629N105O118S1 + PtPt + NH3NH3 + H2OH2OH2O + Na + K,6,9099.07769,53.90876050420648,9099.56821,37.03086244160927,False,7538469.033080654
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2OH2OH2O + NaNa,6,9099.99916,47.35714722856512,9099.56821,51.05430585472747,False,7548283.37603451
C378H629N105O118S1 + PtPt + NH3 + H2OH2OH2O + KK,6,9098.15622,155.19518085376376,9099.56821,25.403375825456543,False,6702881.983271505
C378H629N105O118S1 + PtPt + NH3 + H2O + Cl + KK,5,9098.58874,107.6507607926259,9099.56821,20.40713503663698,False,7335699.1525956355
C378H629N105O118S1 + PtPt + NH3 + ClCl + Na + K,4,9100.92744,149.35071276648097,9099.56821,30.165731394437415,False,6816621.365760239
C378H629N105O118S1 + PtPt + NH3 + ClClCl + Na,2,9099.29949,29.531943672735437,9099.56821,3.133085386942896,False,7630450.543442383
C378H629N105O118S1 + PtPt + NH3NH3 + Cl + KK,5,9097.60403,215.9008013013106,9099.56821,12.513641625335882,False,5865700.491873478
C378H629N105O118S1 + PtPt + NH3NH3NH3 + Cl + Na + K,5,9098.5255,114.60208579947546,9099.56821,16.56102063767706,False,7262751.559218953
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + Cl + NaNa,5,9099.44697,13.323886649188214,9099.56821,26.20694215420063,False,7691611.197853209
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2O + Cl + NaNa,5,9100.43168,94.88231222018625,9099.56821,37.04898116754077,False,7353971.42105685
C378H629N105O118S1 + PtPt + NH3NH3 + H2O + Cl + Na + K,5,9099.51021,6.373969440173113,9099.56821,25.418427908775733,False,7717837.125334032
C378H629N105O118S1 + PtPt + NH3NH3 + H2O + ClCl + Na,3,9097.88226,185.31235641635337,9099.56821,2.4374870531760084,False,6287528.135169159
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2OH2OH2O + ClCl + Na + KK,5,9227.12552,162.23687395984336,9228.6225,16.691791444017213,True,6679394.9415952675
C378H629N105O118S1 + PtPtPt + NH3NH3NH3NH3NH3,6,9229.1206,53.97047254975781,9228.6225,25.285500620911122,False,7568995.3078233255
C378H629N105O118S1 + PtPtPt + NH3NH3NH3NH3 + H2O,6,9230.10531,160.6493046612202,9228.6225,30.298966258366114,False,7020353.320991177
